"tract.key","county","cntyname","vtdname","pop10","afact","state"
"48029160300","48029","Bexar TX","Vtng Dist 1077","3000","1 ","48"
"48439104505","48439","Tarrant TX","Vtng Dist 1078","1225","1 ","48"
"48439123500","48439","Tarrant TX","Vtng Dist 1079","2339","1 ","48"
"48439104604","48439","Tarrant TX","Vtng Dist 1080","1464","1 ","48"
"48029172002","48029","Bexar TX","Vtng Dist 1081","2288","1 ","48"
"48439101202","48439","Tarrant TX","Vtng Dist 1082","1610","1 ","48"
"48029171917","48029","Bexar TX","Vtng Dist 1083","4001","0.999 ","48"
"48029171802","48029","Bexar TX","Vtng Dist 1084","3035","0.649 ","48"
"48439104802","48439","Tarrant TX","Vtng Dist 1085","595","1 ","48"
"48029171700","48029","Bexar TX","Vtng Dist 1086","3997","0.787 ","48"
"48029171700","48029","Bexar TX","Vtng Dist 1087","3523","1 ","48"
"48439101402","48439","Tarrant TX","Vtng Dist 1088","2700","1 ","48"
"48439104505","48439","Tarrant TX","Vtng Dist 1089","2426","1 ","48"
"48029141600","48029","Bexar TX","Vtng Dist 1091","4410","0.986 ","48"
"48029160502","48029","Bexar TX","Vtng Dist 1092","837","1 ","48"
"48029171918","48029","Bexar TX","Vtng Dist 1093","683","1 ","48"
"48029161802","48029","Bexar TX","Vtng Dist 1094","2290","1 ","48"
"48439104201","48439","Tarrant TX","Vtng Dist 1095","915","1 ","48"
"48029980100","48029","Bexar TX","Vtng Dist 1096","30","1 ","48"
"48029150600","48029","Bexar TX","Vtng Dist 1097","1519","1 ","48"
"48029150100","48029","Bexar TX","Vtng Dist 1098","1870","0.972 ","48"
"48439101301","48439","Tarrant TX","Vtng Dist 1099","2093","1 ","48"
"48029171916","48029","Bexar TX","Vtng Dist 1100","5690","1 ","48"
"48029172003","48029","Bexar TX","Vtng Dist 1101","2933","1 ","48"
"48029152201","48029","Bexar TX","Vtng Dist 1102","1448","1 ","48"
"48439104605","48439","Tarrant TX","Vtng Dist 1104","4131","1 ","48"
"48113009701","48113","Dallas TX","Vtng Dist 1105","2737","1 ","48"
"48439106201","48439","Tarrant TX","Vtng Dist 1106","3052","1 ","48"
"48029152201","48029","Bexar TX","Vtng Dist 1107","5916","1 ","48"
"48029172002","48029","Bexar TX","Vtng Dist 1110","5744","1 ","48"
"48113009607","48113","Dallas TX","Vtng Dist 1112","2264","1 ","48"
"48113009607","48113","Dallas TX","Vtng Dist 1113","1194","1 ","48"
"48029110500","48029","Bexar TX","Vtng Dist 2001","2238","1 ","48"
"48029170200","48029","Bexar TX","Vtng Dist 2002","2547","1 ","48"
"48439121601","48439","Tarrant TX","Vtng Dist 2003","1984","1 ","48"
"48029170500","48029","Bexar TX","Vtng Dist 2005","2335","1 ","48"
"48439111530","48439","Tarrant TX","Vtng Dist 2007","2753","1 ","48"
"48029170300","48029","Bexar TX","Vtng Dist 2008","2518","1 ","48"
"48029160100","48029","Bexar TX","Vtng Dist 2009","1774","1 ","48"
"48029170900","48029","Bexar TX","Vtng Dist 2010","1356","1 ","48"
"48029170900","48029","Bexar TX","Vtng Dist 2011","1797","1 ","48"
"48029170700","48029","Bexar TX","Vtng Dist 2012","2502","0.615 ","48"
"48029170600","48029","Bexar TX","Vtng Dist 2013","2319","1 ","48"
"48029170600","48029","Bexar TX","Vtng Dist 2014","2309","1 ","48"
"48029171200","48029","Bexar TX","Vtng Dist 2015","4117","1 ","48"
"48029171000","48029","Bexar TX","Vtng Dist 2016","2886","1 ","48"
"48029171000","48029","Bexar TX","Vtng Dist 2017","2586","1 ","48"
"48029171100","48029","Bexar TX","Vtng Dist 2019","3425","1 ","48"
