"state","county","tract","NAME","medianage","income","totalpop","poverty","hispanic","white","black","geoid"
"48","029","121508","Census Tract 1215.08, Bexar County, Texas",34.5,35665,5426,37.06,40.49,58.68,31.18,"48029121508"
"48","029","121601","Census Tract 1216.01, Bexar County, Texas",30.6,31976,5138,18,38.07,76.37,12.32,"48029121601"
"48","029","121604","Census Tract 1216.04, Bexar County, Texas",30.3,58101,6644,4.76,35.08,67.94,17.93,"48029121604"
"48","029","121605","Census Tract 1216.05, Bexar County, Texas",42.3,58064,2207,2.04,36.93,75.71,1.63,"48029121605"
"48","029","121606","Census Tract 1216.06, Bexar County, Texas",35,45976,4731,11.71,31.54,74.85,5.64,"48029121606"
"48","029","121701","Census Tract 1217.01, Bexar County, Texas",38.7,48024,3733,8.89,28.96,88.08,4.5,"48029121701"
"48","029","121702","Census Tract 1217.02, Bexar County, Texas",39.8,81047,6540,9.41,25.93,81.85,6.31,"48029121702"
"48","029","121802","Census Tract 1218.02, Bexar County, Texas",32.1,61768,7378,3.32,45.3,74.93,7.52,"48029121802"
"48","029","121803","Census Tract 1218.03, Bexar County, Texas",37.8,56953,4750,5.55,53.2,69.89,9.33,"48029121803"
"48","029","121804","Census Tract 1218.04, Bexar County, Texas",29.8,39764,6617,17.84,50.9,71.92,13.42,"48029121804"
"48","029","121808","Census Tract 1218.08, Bexar County, Texas",39.5,73194,3154,3.24,46.45,73.08,9.13,"48029121808"
"48","029","121809","Census Tract 1218.09, Bexar County, Texas",31.9,67200,4578,7.79,28.11,76.52,10.88,"48029121809"
"48","029","121810","Census Tract 1218.10, Bexar County, Texas",30.6,73443,4706,4.04,39.21,76.63,6.01,"48029121810"
"48","029","121811","Census Tract 1218.11, Bexar County, Texas",32.6,85661,4541,4.87,48.45,75.95,4.78,"48029121811"
"48","029","121812","Census Tract 1218.12, Bexar County, Texas",37,61591,6026,5.08,43.51,83.36,7.14,"48029121812"
"48","029","121813","Census Tract 1218.13, Bexar County, Texas",32.9,66154,2260,10.86,36.59,89.29,9.96,"48029121813"
"48","029","121903","Census Tract 1219.03, Bexar County, Texas",38.1,111188,4948,0.69,23.65,92.26,1.92,"48029121903"
"48","029","121904","Census Tract 1219.04, Bexar County, Texas",37.6,100758,3626,2.26,25.68,75.37,3.06,"48029121904"
"48","029","121905","Census Tract 1219.05, Bexar County, Texas",35.3,122377,4407,1.02,27.41,79.67,4.65,"48029121905"
"48","029","121906","Census Tract 1219.06, Bexar County, Texas",31.6,82500,5036,2.66,34.75,91.8,3.97,"48029121906"
"48","029","121907","Census Tract 1219.07, Bexar County, Texas",29.2,79722,7395,2.52,37.4,78.93,3.91,"48029121907"
"48","029","121908","Census Tract 1219.08, Bexar County, Texas",43.9,120905,2018,0.45,24.93,90.19,6.24,"48029121908"
"48","029","121909","Census Tract 1219.09, Bexar County, Texas",28.9,72017,3460,9.19,53.84,79.28,8.93,"48029121909"
"48","029","121910","Census Tract 1219.10, Bexar County, Texas",37.3,87813,3988,2.86,32.97,79.96,6.52,"48029121910"
"48","061","011600","Census Tract 116, Cameron County, Texas",35.4,31875,6229,29.24,96.74,82.21,0.5,"48061011600"
"48","061","011700","Census Tract 117, Cameron County, Texas",26.2,24387,6809,47.69,94.68,82.96,0.7,"48061011700"
"48","061","011801","Census Tract 118.01, Cameron County, Texas",34.1,34481,5191,25.1,79.35,78.23,1.12,"48061011801"
"48","061","011802","Census Tract 118.02, Cameron County, Texas",31,28074,3528,39.5,95.21,83.96,0.68,"48061011802"
"48","061","011901","Census Tract 119.01, Cameron County, Texas",40.8,21268,6226,38.93,84.08,65.71,0,"48061011901"
"48","061","011902","Census Tract 119.02, Cameron County, Texas",33.7,28284,4954,28.75,79.65,68.99,0,"48061011902"
"48","061","011903","Census Tract 119.03, Cameron County, Texas",28.6,17576,2261,48.65,92.13,86.73,0,"48061011903"
"48","061","012001","Census Tract 120.01, Cameron County, Texas",40.1,46389,5475,21.83,62.63,94.25,0,"48061012001"
"48","061","012002","Census Tract 120.02, Cameron County, Texas",31.5,52554,5625,32.9,79.11,93.19,0,"48061012002"
"48","061","012101","Census Tract 121.01, Cameron County, Texas",55.9,45377,4381,14.37,59.96,92.74,0,"48061012101"
"48","061","012102","Census Tract 121.02, Cameron County, Texas",28.3,27639,5404,45.69,97.22,93.36,0,"48061012102"
"48","061","012200","Census Tract 122, Cameron County, Texas",33.2,38011,10695,29.55,91.26,92.27,0,"48061012200"
"48","061","012301","Census Tract 123.01, Cameron County, Texas",36.8,50000,3825,17.4,51.32,96.26,0,"48061012301"
"48","061","012304","Census Tract 123.04, Cameron County, Texas",29,22734,4481,37.68,75.12,95.14,0,"48061012304"
"48","061","012305","Census Tract 123.05, Cameron County, Texas",60.9,52145,3608,4.66,20.01,97.64,2.36,"48061012305"
"48","061","012401","Census Tract 124.01, Cameron County, Texas",28,28528,5651,37.41,85.72,93.68,0.39,"48061012401"
