"vtd.key1","tract.key","county","cntyname","tract","vtdname","pop10","afact","state","NAME","medianage","income","totalpop","poverty","hispanic","white","black","Pres_D_08","Pres_R_08","Shape_area"
"480270410","48027022600","48027","Bell TX","0226.00","480270410","3790","0.447 ","48","Census Tract 226, Bell County, Texas",28.4,28730,4990,27.29,31.14,57.45,22.73,"854","425",4111309.27269
"480270411","48027023203","48027","Bell TX","0232.03","480270411","2909","0.967 ","48","Census Tract 232.03, Bell County, Texas",17.9,34155,2820,19.86,22.34,86.56,5.53,"228","139",2249563.33909
"480291002","48029171914","48029","Bexar TX","1719.14","Vtng Dist 1002","1029","1 ","48","Census Tract 1719.14, Bexar County, Texas",30.1,55234,5373,12.13,67.09,64.45,10.2,"218","160",392968.36107
"480291003","48029150100","48029","Bexar TX","1501.00","Vtng Dist 1003","2831","0.837 ","48","Census Tract 1501, Bexar County, Texas",40,29372,5014,19.43,95.81,50.82,0,"626","157",2606422.75247
"480291004","48029150300","48029","Bexar TX","1503.00","Vtng Dist 1004","2417","1 ","48","Census Tract 1503, Bexar County, Texas",32.3,26529,4008,27.69,93.24,60.15,0,"313","81",1746011.41578
"480291005","48029150300","48029","Bexar TX","1503.00","Vtng Dist 1005","1871","1 ","48","Census Tract 1503, Bexar County, Texas",32.3,26529,4008,27.69,93.24,60.15,0,"303","100",957675.682356
"480291006","48029150400","48029","Bexar TX","1504.00","Vtng Dist 1006","3974","0.951 ","48","Census Tract 1504, Bexar County, Texas",26,25806,4223,41.04,97.44,83.52,0,"1336","541",1550049.32402
"480291007","48029160300","48029","Bexar TX","1603.00","Vtng Dist 1007","2133","1 ","48","Census Tract 1603, Bexar County, Texas",36,34626,5582,13.36,94.02,82.39,0,"521","168",760721.020908
"480291010","48029140200","48029","Bexar TX","1402.00","Vtng Dist 1010","1171","1 ","48","Census Tract 1402, Bexar County, Texas",36.1,26883,3237,26.14,89.99,58.2,2.87,"200","67",691387.31135
"480291012","48029171903","48029","Bexar TX","1719.03","Vtng Dist 1012","4112","1 ","48","Census Tract 1719.03, Bexar County, Texas",28.2,42714,6793,16.39,82.5,76.95,3.78,"642","427",1997425.56351
"480291015","48029150501","48029","Bexar TX","1505.01","Vtng Dist 1015","1829","0.64 ","48","Census Tract 1505.01, Bexar County, Texas",40.3,29740,3862,27.52,96.27,74.37,1.92,"488","159",951433.199969
"480291019","48029150800","48029","Bexar TX","1508.00","Vtng Dist 1019","2837","1 ","48","Census Tract 1508, Bexar County, Texas",28,14352,3140,69.11,85.45,57.36,2.48,"203","82",3060109.81855
"480291020","48029150900","48029","Bexar TX","1509.00","Vtng Dist 1020","4027","1 ","48","Census Tract 1509, Bexar County, Texas",44.2,32442,6001,22.48,89.65,69.57,1.15,"788","363",2064610.0559
"480291021","48029151000","48029","Bexar TX","1510.00","Vtng Dist 1021","3365","1 ","48","Census Tract 1510, Bexar County, Texas",39.4,25903,3631,35.47,89.89,56.24,4.87,"624","204",1578698.72427
"480291022","48029151100","48029","Bexar TX","1511.00","Vtng Dist 1022","4498","1 ","48","Census Tract 1511, Bexar County, Texas",37.7,33134,7218,22.96,94.28,76.67,0.37,"836","244",2156875.25309
"480291023","48029150502","48029","Bexar TX","1505.02","Vtng Dist 1023","3204","1 ","48","Census Tract 1505.02, Bexar County, Texas",30.9,32577,3898,23.79,96.74,75.76,0,"586","162",1089227.4967
"480291024","48029171914","48029","Bexar TX","1719.14","Vtng Dist 1024","4339","0.838 ","48","Census Tract 1719.14, Bexar County, Texas",30.1,55234,5373,12.13,67.09,64.45,10.2,"937","623",1951353.40042
"480291025","48029151100","48029","Bexar TX","1511.00","Vtng Dist 1025","2438","1 ","48","Census Tract 1511, Bexar County, Texas",37.7,33134,7218,22.96,94.28,76.67,0.37,"372","101",1295293.39971
"480291026","48029160902","48029","Bexar TX","1609.02","Vtng Dist 1026","2109","0.761 ","48","Census Tract 1609.02, Bexar County, Texas",36.1,28792,4731,18.5,95.31,86.49,0,"474","121",4379553.84784
"480291027","48029160702","48029","Bexar TX","1607.02","Vtng Dist 1027","1098","1 ","48","Census Tract 1607.02, Bexar County, Texas",30,26769,5887,30.39,93.12,66.62,2.43,"97","30",516143.498628
"480291028","48029150700","48029","Bexar TX","1507.00","Vtng Dist 1028","2042","1 ","48","Census Tract 1507, Bexar County, Texas",38.4,26611,5817,26.83,91.35,67.84,0,"341","105",826336.490472
"480291029","48029160702","48029","Bexar TX","1607.02","Vtng Dist 1029","2133","1 ","48","Census Tract 1607.02, Bexar County, Texas",30,26769,5887,30.39,93.12,66.62,2.43,"454","122",1324287.8807
"480291030","48029980100","48029","Bexar TX","9801.00","Vtng Dist 1030","271","0.9 ","48","Census Tract 9801, Bexar County, Texas",29.1,50223,718,0,21.73,86.91,3.48,"13","45",17347817.5721
"480291031","48029160702","48029","Bexar TX","1607.02","Vtng Dist 1031","2083","0.677 ","48","Census Tract 1607.02, Bexar County, Texas",30,26769,5887,30.39,93.12,66.62,2.43,"460","146",2365283.22062
"480291032","48029160701","48029","Bexar TX","1607.01","Vtng Dist 1032","2323","1 ","48","Census Tract 1607.01, Bexar County, Texas",39.9,31585,3099,31.24,92.71,66.8,2.13,"487","128",1266035.28803
"480291033","48029161600","48029","Bexar TX","1616.00","Vtng Dist 1033","3947","0.993 ","48","Census Tract 1616, Bexar County, Texas",27.7,32228,4866,39.46,80.97,76.39,6.37,"485","325",3350216.12378
"480291034","48029172006","48029","Bexar TX","1720.06","Vtng Dist 1034","6698","1 ","48","Census Tract 1720.06, Bexar County, Texas",33.8,75000,5466,14.63,48.63,71.31,9.26,"708","947",36745100.6278
"480291035","48029161400","48029","Bexar TX","1614.00","Vtng Dist 1035","9918","0.999 ","48","Census Tract 1614, Bexar County, Texas",20.9,41250,7875,15.19,12.3,75.94,13.46,"175","177",11145698.3023
